Year,Film,Awards and Nominees
2022,Passing,"Leading Actress (Tessa Thompson),Outstanding British Film (Forest Whitaker, Nina Yang Bongiovi, Rebecca Hall, Margot Hand),Outstanding Debut By A British Writer, Director or Producer (Rebecca Hall (Writer/Director)),Supporting Actress (Ruth Negga)"
2022,Petite Maman,"Film Not in the English Language (Bénédicte Couvreur, Céline Sciamma)"
2022,RRR,"MUSIC (Original Song) (),MUSIC (Original Song) (Music by M.M. Keeravaani; Lyric by Chandrabose),MUSIC (Original Song) (No nominees listed)"
2022,Stuffed,"British Short Film (Theo Rhys, Joss Holden-Rea)"
2022,"Summer of Soul (Or, When The Revolution Could Not Be Televised)","Documentary (Robert Fyvolent, Ahmir Questlove Thompson, Joseph Patel, David Dinerstein),Editing (Joshua L. Pearson)"
2022,Swan Song,Leading Actor (Mahershala Ali)
2022,The Banshees of Inisherin,"Best Film (Martin McDonagh, Graham Broadbent, Pete Czernin),Director (Martin McDonagh),Editing (Mikkel E.G. Nielsen),Golden Globe Award for Best Director (),Golden Globe Award for Best Director (No nominees listed),Golden Globe Award for Best Motion Picture – Musical or Comedy (Martin McDonagh),Original Score (Carter Burwell),Original Screenplay (Martin McDonagh),Outstanding British Film (Martin McDonagh, Graham Broadbent, Pete Czernin),Supporting Actor (Barry Keoghan)"
2022,The Black Cop,British Short Film (Cherish Oteka)
2022,"The Boy, the Mole, the Fox and the Horse","SHORT FILM (Animated) (),SHORT FILM (Animated) (Charlie Mackesy and Matthew Freud),SHORT FILM (Animated) (No nominees listed)"
2022,The Elephant Whisperers,"DOCUMENTARY SHORT FILM (),DOCUMENTARY SHORT FILM (Kartiki Gonsalves and Guneet Monga),DOCUMENTARY SHORT FILM (No nominees listed)"
2022,The Fabelmans,"Golden Globe Award for Best Director (),Golden Globe Award for Best Director (No nominees listed),Golden Globe Award for Best Motion Picture – Drama (Steven Spielberg),Original Screenplay (Tony Kushner, Steven Spielberg)"
2022,The French Dispatch,"Costume Design (Milena Canonero),Original Score (Alexandre Desplat),Production Design (Adam Stockhausen, Rena DeAngelo)"
2022,The Hand of God,"Casting (Massimo Appolloni, Annamaria Sambucco),Film Not in the English Language (Lorenzo Mieli, Paolo Sorrentino)"
2022,The Harder They Fall,"Outstanding Debut By A British Writer, Director or Producer (Jeymes Samuel (Writer/Director) [also written by Boaz Yakin])"
2022,The Lost Daughter,"Adapted Screenplay (Maggie Gyllenhaal),Golden Globe Award for Best Director (),Supporting Actress (Jessie Buckley)"
2022,The Matrix Resurrections,"Special Visual Effects (Tom Debenham, J. D. Schwalm, Dan Glass, Huw J Evans)"
2022,The Mitchells vs the Machines,"Animated Film (Phil Lord, Christopher Miller, Mike Rianda)"
2022,The Palace,British Short Film (Jo Prichard)
2022,The Rescue,"Documentary (John Battsek, Elizabeth Chai Vasarhelyi, P. J. van Sandwijk, Jimmy Chin)"
2022,The Tragedy of Macbeth,Cinematography (Bruno Delbonnel)
2022,The Whale,"ACTOR IN A LEADING ROLE (),ACTOR IN A LEADING ROLE (Brendan Fraser),ACTOR IN A LEADING ROLE (No nominees listed),Adapted Screenplay (Samuel D Hunter),MAKEUP AND HAIRSTYLING (),MAKEUP AND HAIRSTYLING (Adrien Morot, Judy Chin and Annemarie Bradley),MAKEUP AND HAIRSTYLING (No nominees listed),Make Up & Hair (Judy Chin, Anne Marie Bradley, Adrien Morot)"
2022,The Worst Person in the World,"Film Not in the English Language (Joachim Trier, Thomas Robsahm),Leading Actress (Renate Reinsve)"
2022,Three Meetings Of The Extraordinary Committee,"British Short Film (Michael Woodward, Daniel Wheldon, Max Barron)"
2022,Titane,Director (Julia Ducournau)
2022,Top Gun: Maverick,"Cinematography (Claudio Miranda),Editing (Eddie Hamilton),SOUND (),SOUND (Mark Weingarten, James H. Mather, Al Nelson, Chris Burdon and Mark Taylor),SOUND (No nominees listed),Sound (Mark Weingarten, James H Mather, Mark Taylor, Chris Burdon, Al Nelson),Special Visual Effects (Seth Hill, Bryan Litson, Ryan Tudhope, Scott R Fisher)"
2022,Women Talking,"WRITING (Adapted Screenplay) (),WRITING (Adapted Screenplay) (No nominees listed),WRITING (Adapted Screenplay) (Screenplay by Sarah Polley)"
